Model,MSE,RMSE,MAE,R2
LinearRegression,10549721686.160786,102711.83810136389,82657.94605892623,0.9146454505137948
RobustRegression,61664910393.24911,248324.20420339436,199465.55955429227,0.5010881990728209
RidgeRegression,10549745186.670172,102711.95250149893,82659.67244409776,0.91464526037841
LassoRegression,10549717660.356379,102711.81850379429,82657.94662172231,0.9146454830853384
ElasticNet,15081376466.55959,122806.25581198862,99126.80843102589,0.8779812271613102
RandomForest,14811103814.420418,121700.87844555773,97832.52548503515,0.8801679199621301
PolynomialRegression,10604968579.890604,102980.42813996553,82894.44770725128,0.9141984649093302
SGDRegressor,6.237129262396202e+36,2.497424525865837e+18,2.469007875119496e+18,-5.046269220328529e+25
ANN,61423253673.148026,247837.15151919422,199222.85850761,0.5030433691794977
SVM,123546565157.52672,351491.9133600753,282947.68758691323,0.0004227861838135283
LGBM,13097708114.507051,114445.21883638063,92133.9888284538,0.8940304769478327
XGBoost,16138680641.877495,127038.10704618317,101565.19208841266,0.8694269046645823
KNN,60395811313.31432,245755.59263893534,198086.23684543537,0.5113560889227768
